num_physical_stroke,end_point_x,b,g,start_point_x,num_brush,num_stroke,start_point_y,theta_rad,theta_deg,r,end_point_y,Unnamed: 0,Unnamed: 0.1
897.0,66.96631166249429,126.0,108.0,38.68641161138419,4.0,305.0,409.8391014870561,2.136923995690404,122.43672609329224,232.0,427.81150987769,896.0,896.0
919.0,348.0577029713458,145.0,69.0,312.86806683686814,4.0,312.0,135.15214261902972,2.0683824683863863,118.50958585739136,197.0,154.26617982216453,918.0,918.0
920.0,343.26820756789846,145.0,69.0,308.07857143342085,4.0,312.0,143.9697774663356,2.0683824683863863,118.50958585739136,197.0,163.08381466947046,919.0,919.0
921.0,341.8313589468643,145.0,69.0,306.6417228123866,4.0,312.0,146.6150679205274,2.0683824683863863,118.50958585739136,197.0,165.72910512366224,920.0,920.0
940.0,525.7505917266893,130.0,89.0,503.3132783030526,4.0,318.0,166.55244470874476,1.2428375260630218,71.20934486389159,236.0,158.91824353895203,939.0,939.0
945.0,38.72860281338957,111.0,54.0,1.743378436025738,4.0,321.0,390.4743808570104,2.564913061918634,146.9586932659149,248.0,447.3368422209819,944.0,944.0
946.0,32.700033783425724,111.0,54.0,-4.285190593938092,4.0,321.0,394.3955614197096,2.564913061918634,146.9586932659149,248.0,451.2580227836811,945.0,945.0
965.0,362.20006403482034,99.0,151.0,350.80543851769875,4.0,328.0,162.5900316016573,2.3176713864875897,132.79278874397278,243.0,173.13890694533427,964.0,964.0
966.0,356.55003315087885,99.0,151.0,345.15540763375725,4.0,328.0,168.69305054777408,2.3176713864875897,132.79278874397278,243.0,179.24192589145105,965.0,965.0
982.0,564.9487224064991,108.0,126.0,541.2325580438936,4.0,334.0,123.33143883695584,2.2726262428851243,130.21189212799072,255.0,143.38159082374597,981.0,981.0
983.0,558.4703264807431,108.0,126.0,534.7541621181376,4.0,334.0,130.99435843389895,2.2726262428851243,130.21189212799072,255.0,151.04451042068908,982.0,982.0
984.0,556.5268077030164,108.0,126.0,532.8106433404108,4.0,334.0,133.29323431298192,2.2726262428851243,130.21189212799072,255.0,153.34338629977202,983.0,983.0
1030.0,505.59787723327736,181.0,131.0,499.6517882908693,4.0,350.0,198.8411874321349,2.7486278591544955,157.48477578163147,231.0,213.1855343319017,1029.0,1029.0
1031.0,496.3143674978663,181.0,131.0,490.3682785554583,4.0,350.0,202.68943336275743,2.7486278591544955,157.48477578163147,231.0,217.03378026252423,1030.0,1030.0
1032.0,487.0308577624553,181.0,131.0,481.0847688200472,4.0,350.0,206.53767929338,2.7486278591544955,157.48477578163147,231.0,220.88202619314683,1031.0,1031.0
