b,num_physical_stroke,end_point_x,num_stroke,num_brush,end_point_y,theta_deg,start_point_x,theta_rad,g,r,start_point_y,Unnamed: 0,Unnamed: 0.1
219.0,2.0,450.68657149770814,1.0,1.0,-127.84922066914024,59.02083456516265,138.31793564168234,1.0301078904369645,249.0,254.0,59.68622907602372,1.0,1.0
219.0,3.0,460.9910800251448,1.0,1.0,-110.68550428241907,59.02083456516265,148.62244416911906,1.0301078904369645,249.0,254.0,76.84994546274487,2.0,2.0
219.0,4.0,471.2955885525815,1.0,1.0,-93.52178789569794,59.02083456516265,158.92695269655582,1.0301078904369645,249.0,254.0,94.01366184946602,3.0,3.0
219.0,5.0,481.6000970800181,1.0,1.0,-76.35807150897679,59.02083456516265,169.23146122399243,1.0301078904369645,249.0,254.0,111.17737823618717,4.0,4.0
219.0,6.0,491.9046056074549,1.0,1.0,-59.19435512225565,59.02083456516265,179.53596975142918,1.0301078904369645,249.0,254.0,128.34109462290832,5.0,5.0
219.0,7.0,502.2091141348917,1.0,1.0,-42.03063873553449,59.02083456516265,189.840478278866,1.0301078904369645,249.0,254.0,145.50481100962946,6.0,6.0
219.0,8.0,512.5136226623283,1.0,1.0,-24.866922348813358,59.02083456516265,200.14498680630263,1.0301078904369645,249.0,254.0,162.66852739635058,7.0,7.0
219.0,9.0,522.818131189765,1.0,1.0,-7.703205962092197,59.02083456516265,210.4494953337393,1.0301078904369645,249.0,254.0,179.83224378307176,8.0,8.0
219.0,10.0,533.1226397172019,1.0,1.0,9.46051042462895,59.02083456516265,220.75400386117605,1.0301078904369645,249.0,254.0,196.9959601697929,9.0,9.0
219.0,11.0,543.4271482446385,1.0,1.0,26.624226811350105,59.02083456516265,231.05851238861283,1.0301078904369645,249.0,254.0,214.15967655651409,10.0,10.0
219.0,12.0,553.7316567720752,1.0,1.0,43.78794319807125,59.02083456516265,241.3630209160495,1.0301078904369645,249.0,254.0,231.3233929432352,11.0,11.0
219.0,13.0,564.0361652995118,1.0,1.0,60.95165958479242,59.02083456516265,251.66752944348625,1.0301078904369645,249.0,254.0,248.4871093299564,12.0,12.0
219.0,14.0,574.3406738269488,1.0,1.0,78.11537597151354,59.02083456516265,261.9720379709229,1.0301078904369645,249.0,254.0,265.6508257166775,13.0,13.0
